Date,Start Time,Bet Placed Time,Sport,League,Market,Derivative,Event/Match,Bet,Odds,Stake,Bookmaker,Payout,Closing Line,CLV%,Profit/Loss,Notes/Comments,Bet ID#,Result
2025-01-01,21:10,Unknown,Basketball,NBA,Player Prop,No,Cade Cunningham (Rebounds),Under 5.5 Rebounds,-105,111,Pinnacle,105.71,,,-111.00,,2041612249,Loss
2025-01-01,23:10,Unknown,Basketball,NBA,Player Prop,No,Trae Young (Points),Over 24.5 Points,105,111,Pinnacle,116.55,,,116.55,,2041638029,Win
2025-01-01,23:10,Unknown,Basketball,NBA,Spread,No,LiveAtlanta Hawks vs Denver Nuggets,Atlanta Hawks +14.5,131,111,Pinnacle,145.41,,,-111.00,,2041651529,Loss
2025-01-01,23:10,Unknown,Basketball,NBA,Spread,No,LiveAtlanta Hawks vs Denver Nuggets,Atlanta Hawks +14.5,131,111,Pinnacle,145.41,,,-111.00,,2041651550,Loss
2025-01-01,23:10,Unknown,Basketball,NBA,Spread,No,LiveAtlanta Hawks vs Denver Nuggets,Atlanta Hawks +17.5,100,111,Pinnacle,111,,,-111.00,,2041651953,Loss
2025-01-01,23:00,Unknown,Basketball,NCAA,Total,No,LiveBelmont vs Northern Iowa,Over 137.5,-114,222,Pinnacle,194.74,,,194.74,,2041649886,Win
2025-01-01,23:00,Unknown,Basketball,NCAA,Total,No,LiveBelmont vs Northern Iowa,Over 137.5,-123,222,Pinnacle,180.49,,,180.49,,2041649930,Win
2025-01-01,21:40,Unknown,Basketball,NBA,Total,No,LiveNew Orleans Pelicans vs Miami Heat,Over 222,126,500,Pinnacle,630,,,630.00,,2041641993,Win
2025-01-01,21:40,Unknown,Basketball,NBA,Spread,No,LiveNew Orleans Pelicans vs Miami Heat,New Orleans Pelicans +10.5,106,247,Pinnacle,261.82,,,-247.00,,2041643145,Loss
2025-01-01,21:40,Unknown,Basketball,NBA,Spread,No,LiveUtah Jazz vs New York Knicks,Utah Jazz +10.5,-124,111,Pinnacle,89.52,,,-111.00,,2041640603,Loss
2025-01-01,21:00,Unknown,Basketball,NCAA,Total,No,LiveBradley vs Indiana State,Under 149,-119,222,Pinnacle,186.55,,,-222.00,,2041634907,Loss
2025-01-01,21:10,Unknown,Basketball,NBA,Spread,No,LiveChicago Bulls vs Washington Wizards,Chicago Bulls +12.0,113,222,Pinnacle,250.86,,,-222.00,,2041640942,Loss
2025-01-01,,Unknown,Basketball,NBA,Spread,Yes,LiveChicago Bulls vs Washington Wizards,Chicago Bulls +13.5,112,222,Pinnacle,248.64,,,-222.00,,2041641027,Loss
2025-01-01,,Unknown,Basketball,NBA,Spread,Yes,LiveNew Orleans Pelicans vs Miami Heat,Miami Heat -1.5,116,111,Pinnacle,128.76,,,128.76,,2041633436,Win
2025-01-01,,Unknown,Basketball,NCAA,Moneyline,Yes,LiveDrake vs Illinois Chicago,Over 122.5,-109,111,Pinnacle,101.83,,,101.83,,2041607765,Win
2025-01-01,,Unknown,Basketball,NCAA,Moneyline,Yes,LiveDrake vs Illinois Chicago,Over 122.5,-111,111,Pinnacle,100,,,100.00,,2041607790,Win
2025-01-02,22:30,Unknown,Basketball,NCAA,Spread,No,Eastern Kentucky vs Central Arkansas,Central Arkansas +6.0,113,100,Pinnacle,113,,,,,2041771196,Pending
2025-01-02,22:30,Unknown,Basketball,NCAA,Spread,No,Eastern Kentucky vs Central Arkansas,Central Arkansas +6.0,112,50,Pinnacle,56,,,,,2041771287,Pending
2025-01-02,22:30,Unknown,Basketball,NCAA,Spread,No,Lindenwood vs Eastern Illinois,Lindenwood +1.5,116,200,Pinnacle,232,,,-200.00,,2041825898,Loss
2025-01-02,22:10,Unknown,Basketball,NBA,Total,No,Brooklyn Nets vs Milwaukee Bucks,Milwaukee Bucks - Over 117.5,-101,400,Pinnacle,396.04,,,-400.00,,2041824266,Loss
2025-01-02,22:00,Unknown,Basketball,NCAA,Spread,No,LiveIdaho State vs Northern Arizona,Idaho State +12.5,-111,111,Pinnacle,100,,,100.00,,2041840400,Win
2025-01-02,22:00,Unknown,Basketball,NCAA,Total,No,LiveIdaho State vs Northern Arizona,Over 129.5,-109,119,Pinnacle,109.17,,,109.17,,2041840727,Win
2025-01-02,22:30,Unknown,Basketball,NCAA,Total,Yes,Southern Indiana vs Tennessee Tech,Under 68.5,104,50,Pinnacle,52,,,-50.00,,2041807640,Loss
2025-01-02,22:00,Unknown,Basketball,NCAA,Spread,Yes,Weber State vs Northern Colorado,Weber State +3.5,111,120,Pinnacle,133.2,,,-120.00,,2041738301,Loss
2025-01-02,15:00,Unknown,Basketball,NCAA,Moneyline,Yes,Gardner Webb vs Charleston Southern,Gardner Webb,-100,100,Pinnacle,100,,,-100.00,,2041752252,Loss
2025-01-03,23:10,Unknown,Basketball,NBA,Player Prop,No,Victor Wembanyama (Pts+Rebs+Asts),Over 41.5 Points+Rebs+Assists,-115,150,Pinnacle,130.43,,,130.43,,2041975246,Win
2025-01-03,23:10,Unknown,Basketball,NBA,Player Prop,No,Nikola Jokic (Points),Over 28.5 Points,-109,100,Pinnacle,91.74,,,91.74,,2041973773,Win
2025-01-03,21:10,Unknown,Basketball,NBA,Spread,No,LiveCharlotte Hornets vs Detroit Pistons,Charlotte Hornets +5.5,-106,111,Pinnacle,104.72,,,104.72,,2042108424,Win
2025-01-03,0:00,Unknown,Basketball,NCAA,Total,No,LiveCS Northridge vs CS Fullerton,Over 150,-109,222,Pinnacle,203.67,,,203.67,,2041851690,Win
2025-01-03,0:00,Unknown,Basketball,NCAA,Total,No,LiveSan Francisco vs Pacific,Under 144.5,-109,111,Pinnacle,101.83,,,-111.00,,2041850249,Loss
2025-01-03,0:00,Unknown,Basketball,NCAA,Total,No,LiveOregon State vs Loyola Marymount,Under 158,-114,106,Pinnacle,92.98,,,92.98,,2041852217,Win
2025-01-04,21:00,Unknown,Basketball,NCAA,Total,No,LiveYoungstown State vs IPFW,Over 140,-109,200,Pinnacle,183.49,,,183.49,,2042479709,Win
2025-01-04,20:00,Unknown,Basketball,NCAA,Total,No,LiveSan Jose State vs UNLV,Over 131.5,-113,200,Pinnacle,176.99,,,176.99,,2042470124,Win
2025-01-04,13:00,Unknown,Basketball,NCAA,Spread,No,Buffalo vs Liberty,Buffalo -3.0,-102,150,Pinnacle,147.06,,,147.06,,2041730590,Win
2025-01-04,14:00,Unknown,Basketball,NCAA,Total,No,LiveToledo vs Western Michigan,Over 148.5,-106,200,Pinnacle,188.68,,,-200.00,,2042388049,Loss
2025-01-04,0:10,Unknown,Basketball,NBA,Player Prop,No,Desmond Bane (Assists),Under 6.5 Assists,-120,100,Pinnacle,83.33,,,-100.00,,2041972598,Loss
2025-01-05,22:20,Unknown,Football,NFL,Moneyline,No,Jameson Williams (Receptions),Under 4.5 Receptions,-125,100,Pinnacle,80,,,-100.00,,2042761443,Loss
2025-01-05,22:20,Unknown,Football,NFL,Moneyline,No,Jake Bates (Kicking Points),Under 7.5 Kicking Points,108,100,Pinnacle,108,,,108.00,,2042860756,Win
2025-01-05,18:25,Unknown,Football,NFL,Moneyline,No,Jonnu Smith (Receptions),Over 3.5 Receptions,-125,300,Pinnacle,240,,,240.00,,2042824964,Win
2025-01-05,22:20,Unknown,Football,NFL,Moneyline,No,LiveMinnesota Vikings vs Detroit Lions,Under 42.5,120,111,Pinnacle,133.2,,,133.20,,2042880364,Win
2025-01-05,22:40,Unknown,Basketball,NBA,Spread,No,LiveSacramento Kings vs Golden State Warriors,Golden State Warriors +12.5,-122,111,Pinnacle,90.98,,,-111.00,,2042876425,Loss
2025-01-05,22:40,Unknown,Basketball,NBA,Spread,No,LiveSacramento Kings vs Golden State Warriors,Sacramento Kings -18.0,-112,300,Pinnacle,267.86,,,267.86,,2042880561,Win
2025-01-05,21:10,Unknown,Basketball,NBA,Spread,No,LiveLos Angeles Lakers vs Houston Rockets,Los Angeles Lakers +6.5,-111,200,Pinnacle,180.18,,,180.18,,2042869746,Win
2025-01-05,21:10,Unknown,Basketball,NBA,Total,Yes,LiveLos Angeles Lakers vs Houston Rockets,Over 53.5,124,200,Pinnacle,248,,,248.00,,2042862483,Win
2025-01-05,21:10,Unknown,Basketball,NBA,Total,Yes,LiveLos Angeles Lakers vs Houston Rockets,Over 53.5,124,200,Pinnacle,248,,,248.00,,2042862549,Win
2025-01-05,20:10,Unknown,Basketball,NBA,Player Prop,No,Brandon Miller (Points),Over 18.5 Points,-113,100,Pinnacle,88.5,,,88.50,,2042772539,Win
2025-01-05,20:10,Unknown,Basketball,NBA,Total,No,LiveCharlotte Hornets vs Cleveland Cavaliers,Under 226.5,-104,100,Pinnacle,96.15,,,96.15,,2042856551,Win
2025-01-05,18:00,Unknown,Basketball,NCAA,Total,No,LiveIllinois vs Washington,Under 156.5,101,300,Pinnacle,303,,,-300.00,,2042837306,Loss
2025-01-05,18:00,Unknown,Basketball,NCAA,Spread,No,LiveMaryland vs Oregon,Oregon +1.5,-114,111,Pinnacle,97.37,,,97.37,,2042834660,Win
2025-01-05,18:25,Unknown,Football,NFL,Spread,Yes,Miami Dolphins vs New York Jets,Miami Dolphins - Over 9.5,-101,100,Pinnacle,99.01,,,-100.00,,2042717029,Loss
2025-01-05,18:00,Unknown,Basketball,NCAA,Total,No,LiveKansas vs Central Florida,Kansas - Over 79.5,-104,222,Pinnacle,213.46,,,213.46,,2042833775,Win
2025-01-05,18:00,Unknown,Basketball,NCAA,Total,No,LiveKansas vs Central Florida,Over 143.5,-115,155,Pinnacle,134.78,,,134.78,,2042834847,Win
2025-01-05,18:00,Unknown,Basketball,NCAA,Spread,No,LiveSouthern Illinois vs Illinois State,Illinois State -14.5,-108,111,Pinnacle,102.78,,,102.78,,2042834341,Win
2025-01-05,18:00,Unknown,Basketball,NCAA,Spread,No,LiveSouthern Illinois vs Illinois State,Illinois State -14.5,-108,111,Pinnacle,102.78,,,102.78,,2042834408,Win
2025-01-05,15:00,Unknown,Football,NFL,Moneyline,No,Washington Commanders vs Dallas Cowboys,Under 43.5,-113,180,Pinnacle,159.29,,,159.29,,2042740428,Win
2025-01-05,16:00,Unknown,Basketball,NCAA,Spread,No,Northwestern vs Purdue,Purdue -7.5,103,100,Pinnacle,103,,,103.00,,2042583000,Win
2025-01-05,16:00,Unknown,Basketball,NCAA,Total,Yes,Colgate vs Bucknell,Over 63.5,102,100,Pinnacle,102,,,-100.00,,2042717561,Loss
2025-01-06,21:10,Unknown,Basketball,NBA,Player Prop,No,Mason Plumlee (Rebounds),Over 7.5 Rebounds,144,300,Pinnacle,432,,,-300.00,,2043020580,Loss
2025-01-06,22:10,Unknown,Basketball,NBA,Player Prop,No,Anthony Edwards (Assists),Under 4.5 Assists,-146,80,Pinnacle,54.79,,,-80.00,,2043036290,Loss
2025-01-06,21:40,Unknown,Basketball,NBA,Player Prop,No,Scottie Barnes (Assists),Under 5.5 Assists,101,100,Pinnacle,101,,,101.00,,2043014782,Win
2025-01-06,21:10,Unknown,Basketball,NBA,Player Prop,No,Ausar Thompson (Pts+Rebs+Asts),Over 18.5 Points+Rebs+Assists,110,100,Pinnacle,110,,,,,2042977050,Pending
2025-01-06,21:10,Unknown,Basketball,NBA,Player Prop,No,Cade Cunningham (Rebounds),Over 5.5 Rebounds,-118,100,Pinnacle,84.75,,,84.75,,2042941207,Win
2025-01-06,23:00,Unknown,Basketball,NCAA,Spread,No,LiveOhio State vs Minnesota,Minnesota +5.5,-108,333,Pinnacle,308.33,,,308.33,,2043094322,Win
2025-01-06,23:00,Unknown,Basketball,NCAA,Spread,No,LiveOhio State vs Minnesota,Ohio State -2.5,-104,111,Pinnacle,106.73,,,-111.00,,2043097521,Loss
2025-01-06,23:00,Unknown,Basketball,NCAA,Total,No,LiveOhio State vs Minnesota,Over 124.5,-115,222,Pinnacle,193.04,,,193.04,,2043099958,Win
2025-01-06,23:00,Unknown,Basketball,NCAA,Total,No,LiveGrambling vs Texas Southern,Under 139.5,-117,111,Pinnacle,94.87,,,94.87,,2043090747,Win
2025-01-06,23:00,Unknown,Basketball,NCAA,Total,No,LiveTCU vs Houston,Over 116,-123,111,Pinnacle,90.24,,,-111.00,,2043093911,Loss
2025-01-06,23:00,Unknown,Basketball,NCAA,Total,No,LiveTCU vs Houston,Over 116.5,-116,111,Pinnacle,95.69,,,-111.00,,2043094073,Loss
2025-01-06,23:00,Unknown,Basketball,NCAA,Total,No,LiveTCU vs Houston,Under 120.5,-119,222,Pinnacle,186.55,,,186.55,,2043100063,Win
2025-01-06,22:10,Unknown,Basketball,NBA,Player Prop,No,Norman Powell (Points),Over 21.5 Points,-104,200,Pinnacle,192.31,,,192.31,,2042982849,Win
2025-01-06,22:10,Unknown,Basketball,NBA,Player Prop,No,Spencer Dinwiddie (Points),Over 15.5 Points,115,100,Pinnacle,115,,,-100.00,,2043018160,Loss
2025-01-06,22:10,Unknown,Basketball,NBA,Total,No,LiveLos Angeles Clippers vs Minnesota Timberwolves,Minnesota Timberwolves - Under 105.5,-106,222,Pinnacle,209.43,,,-222.00,,2043095996,Loss
2025-01-06,22:00,Unknown,Basketball,NCAA,Total,No,LiveSouth Carolina State vs Coppin State,Under 170,-127,155,Pinnacle,122.05,,,122.05,,2043088145,Win
2025-01-06,22:00,Unknown,Basketball,NCAA,Total,No,LiveMississippi Valley State vs Alabama A&M,Over 133.5,-116,200,Pinnacle,172.41,,,172.41,,2043072668,Win
2025-01-06,22:00,Unknown,Basketball,NCAA,Total,No,LiveIncarnate Word vs Lamar,Over 133.5,-112,200,Pinnacle,178.57,,,-200.00,,2043074225,Loss
2025-01-06,22:00,Unknown,Basketball,NCAA,Total,No,LiveIncarnate Word vs Lamar,Over 133.5,-114,200,Pinnacle,175.44,,,-200.00,,2043074283,Loss
2025-01-06,21:10,Unknown,Basketball,NBA,Player Prop,No,Bradley Beal (3 Point FG),Over 1.5 3-Point Field Goals,-110,150,Pinnacle,136.36,,,136.36,,2043002535,Win
2025-01-06,21:10,Unknown,Basketball,NBA,Player Prop,No,Kelly Oubre Jr. (Points),Under 11.5 Points,-107,100,Pinnacle,93.46,,,-100.00,,2042977197,Loss
2025-01-06,21:30,Unknown,Basketball,NCAA,Total,No,Texas A&M Corpus Christi vs New Orleans,Texas A&M Corpus Christi - Over 79.5,-131,222,Pinnacle,169.47,,,169.47,,2043008420,Win
2025-01-06,21:40,Unknown,Basketball,NBA,Moneyline,Yes,LiveMilwaukee Bucks vs Toronto Raptors,Milwaukee Bucks,-106,400,Pinnacle,377.36,,,377.36,,2043073785,Win
2025-01-06,21:40,Unknown,Basketball,NBA,Moneyline,Yes,LiveMilwaukee Bucks vs Toronto Raptors,Milwaukee Bucks,-111,200,Pinnacle,180.18,,,180.18,,2043073873,Win
2025-01-06,21:40,Unknown,Basketball,NBA,Total,Yes,LiveIndiana Pacers vs Brooklyn Nets,Over 56.5,-102,200,Pinnacle,196.08,,,-200.00,,2043077169,Loss
2025-01-06,21:00,Unknown,Basketball,NCAA,Total,No,LiveArkansas Pine Bluff vs Alabama State,Over 180,-127,150,Pinnacle,118.11,,,118.11,,2043077730,Win
2025-01-07,21:10,Unknown,Basketball,NBA,Player Prop,No,Bilal Coulibaly (Assists),Under 4.5 Assists,-121,100,Pinnacle,82.64,,,82.64,,2043233863,Win
2025-01-07,23:00,Unknown,Basketball,NCAA,Total,No,LiveAuburn vs Texas,Over 144.5,-112,111,Pinnacle,99.11,,,99.11,,2043353806,Win
2025-01-07,23:00,Unknown,Basketball,NCAA,Total,No,LiveAuburn vs Texas,Over 142.5,-108,333,Pinnacle,308.33,,,308.33,,2043355537,Win
2025-01-07,23:00,Unknown,Basketball,NCAA,Spread,No,LiveAuburn vs Texas,Auburn -14.5,-107,222,Pinnacle,207.48,,,-222.00,,2043355961,Loss
2025-01-07,23:00,Unknown,Basketball,NCAA,Spread,No,LiveAuburn vs Texas,Auburn -14.5,-107,111,Pinnacle,103.74,,,-111.00,,2043355994,Loss
2025-01-07,23:00,Unknown,Basketball,NCAA,Spread,No,LiveAuburn vs Texas,Auburn -13.5,-113,333,Pinnacle,294.69,,,-333.00,,2043360239,Loss
2025-01-07,23:00,Unknown,Basketball,NCAA,Total,No,LiveSMU vs North Carolina,Over 158,-116,222,Pinnacle,191.38,,,-222.00,,2043354965,Loss
2025-01-07,23:00,Unknown,Basketball,NCAA,Spread,No,LiveFresno State vs Colorado State,Colorado State -27.5,-107,111,Pinnacle,103.74,,,-111.00,,2043360479,Loss
2025-01-07,23:10,Unknown,Basketball,NBA,Moneyline,Yes,LiveAtlanta Hawks vs Utah Jazz,Atlanta Hawks,-128,222,Pinnacle,173.44,,,173.44,,2043362608,Win
2025-01-07,22:10,Unknown,Basketball,NBA,Total,No,LiveMinnesota Timberwolves vs New Orleans Pelicans,Under 220.5,106,155,Pinnacle,164.3,,,164.30,,2043354682,Win
2025-01-07,22:10,Unknown,Basketball,NBA,Moneyline,No,LiveMinnesota Timberwolves vs New Orleans Pelicans,Minnesota Timberwolves,122,155,Pinnacle,189.1,,,189.10,,2043355222,Win
2025-01-07,23:10,Unknown,Basketball,NBA,Total,Yes,LiveAtlanta Hawks vs Utah Jazz,Under 60.5,111,111,Pinnacle,123.21,,,123.21,,2043356304,Win
2025-01-07,23:00,Unknown,Basketball,NCAA,Total,Yes,LiveLSU vs Missouri,Over 67.5,-122,222,Pinnacle,181.97,,,181.97,,2043351852,Win
2025-01-07,22:00,Unknown,Basketball,NCAA,Total,No,LiveTulsa vs Texas San Antonio,Over 143.5,-110,200,Pinnacle,181.82,,,181.82,,2043338029,Win
2025-01-07,21:35,Unknown,Basketball,NBA,Total,No,LiveLos Angeles Lakers vs Dallas Mavericks,Over 214.5,-123,100,Pinnacle,81.3,,,81.30,,2043341854,Win
2025-01-07,21:10,Unknown,Basketball,NBA,Spread,No,LivePhoenix Suns vs Charlotte Hornets,Phoenix Suns +8.5,-146,200,Pinnacle,136.99,,,-200.00,,2043337393,Loss
2025-01-07,21:10,Unknown,Basketball,NBA,Total,No,LivePhoenix Suns vs Charlotte Hornets,Charlotte Hornets - Under 113.5,-106,100,Pinnacle,94.34,,,-100.00,,2043338938,Loss
2025-01-07,21:00,Unknown,Basketball,NCAA,Total,No,LiveMiami Ohio vs Ball State,Under 149.5,-113,200,Pinnacle,176.99,,,-200.00,,2043338815,Loss
2025-01-07,21:10,Unknown,Basketball,NBA,Player Prop,No,Cam Whitmore (Points),Under 12.5 Points,112,120,Pinnacle,134.4,,,-120.00,,2043305351,Loss
2025-01-07,21:00,Unknown,Basketball,NCAA,Spread,No,LiveEastern Michigan vs Toledo,Eastern Michigan +9.5,-110,200,Pinnacle,181.82,,,181.82,,2043339734,Win
2025-01-07,21:00,Unknown,Basketball,NCAA,Spread,No,LiveTennessee vs Florida,Tennessee +15.5,-103,200,Pinnacle,194.17,,,-200.00,,2043335334,Loss
2025-01-07,22:00,Unknown,Basketball,NCAA,Total,Yes,LiveCincinnati vs Baylor,Over 66.5,119,150,Pinnacle,178.5,,,-150.00,,2043342725,Loss
2025-01-07,21:00,Unknown,Basketball,NCAA,Total,No,LiveGeorgia Tech vs Syracuse,Over 118.5,-107,200,Pinnacle,186.92,,,-200.00,,2043339548,Loss
2025-01-07,21:00,Unknown,Basketball,NCAA,Total,No,LiveOhio vs Buffalo,Under 145.5,-118,200,Pinnacle,169.49,,,-200.00,,2043337460,Loss
2025-01-07,21:00,Unknown,Basketball,NCAA,Spread,No,LiveOhio vs Buffalo,Ohio -19.5,-108,200,Pinnacle,185.19,,,-200.00,,2043338352,Loss
2025-01-07,21:10,Unknown,Basketball,NBA,Total,Yes,LiveHouston Rockets vs Washington Wizards,Over 64.5,127,150,Pinnacle,190.5,,,-150.00,,2043343267,Loss
2025-01-07,21:00,Unknown,Basketball,NCAA,Spread,No,LiveCentral Michigan vs Akron,Akron -11.5,-118,222,Pinnacle,188.14,,,188.14,,2043336974,Win
2025-01-07,21:00,Unknown,Basketball,NCAA,Spread,No,LiveCentral Michigan vs Akron,Akron -14.5,-110,200,Pinnacle,181.82,,,181.82,,2043338456,Win
2025-01-07,21:00,Unknown,Basketball,NCAA,Spread,No,LiveCentral Michigan vs Akron,Central Michigan +14.5,-110,200,Pinnacle,181.82,,,-200.00,,2043338643,Loss
2025-01-07,21:00,Unknown,Basketball,NCAA,Spread,No,LiveCentral Michigan vs Akron,Akron -14.5,-110,400,Pinnacle,363.64,,,363.64,,2043338684,Win
2025-01-07,0:10,Unknown,Basketball,NBA,Total,Yes,LiveMiami Heat vs Sacramento Kings,Over 51.5,106,155,Pinnacle,164.3,,,164.30,,2043107975,Win
2025-01-08,21:00,Unknown,Basketball,NCAA,Moneyline,No,LiveFurman vs The Citadel,Furman,-165,200,Pinnacle,121.21,,,121.21,,2043621079,Win
2025-01-08,21:00,Unknown,Basketball,NCAA,Moneyline,No,LiveMurray State vs Northern Iowa,Murray State,-133,200,Pinnacle,150.38,,,150.38,,2043621849,Win
2025-01-08,0:00,Unknown,Basketball,NCAA,Total,No,LiveUtah State vs San Jose State,Over 155.5,-119,155,Pinnacle,130.25,,,130.25,,2043366242,Win
2025-01-08,0:07,Unknown,Hockey,NHL,Player Prop,Yes,LiveCalgary Flames vs Anaheim Ducks,Anaheim Ducks - Under 0.5,-134,155,Pinnacle,115.67,,,115.67,,2043366065,Win
